Timestamp,Distance (cm)
2025-04-28 19:43:35.748,13.0
2025-04-28 19:43:35.872,13.0
2025-04-28 19:43:35.996,15.0
2025-04-28 19:43:36.120,17.0
2025-04-28 19:43:36.243,15.0
2025-04-28 19:43:36.367,10.0
2025-04-28 19:43:36.491,14.0
2025-04-28 19:43:36.614,13.0
2025-04-28 19:43:36.738,13.0
2025-04-28 19:43:36.862,13.0
2025-04-28 19:43:36.985,15.0
2025-04-28 19:43:37.109,13.0
2025-04-28 19:43:37.232,14.0
2025-04-28 19:43:37.356,13.0
2025-04-28 19:43:37.480,14.0
2025-04-28 19:43:37.603,14.0
2025-04-28 19:43:37.727,15.0
2025-04-28 19:43:37.851,13.0
2025-04-28 19:43:37.974,13.0
2025-04-28 19:43:38.098,13.0
2025-04-28 19:43:38.221,13.0
2025-04-28 19:43:38.345,14.0
2025-04-28 19:43:38.469,14.0
2025-04-28 19:43:38.592,15.0
2025-04-28 19:43:38.716,12.0
2025-04-28 19:43:38.840,13.0
2025-04-28 19:43:38.963,13.0
2025-04-28 19:43:39.087,13.0
2025-04-28 19:43:39.211,14.0
2025-04-28 19:43:39.334,13.0
2025-04-28 19:43:39.458,14.0
2025-04-28 19:43:39.582,14.0
2025-04-28 19:43:39.705,13.0
2025-04-28 19:43:39.829,15.0
2025-04-28 19:43:39.953,13.0
2025-04-28 19:43:40.076,13.0
2025-04-28 19:43:40.200,13.0
2025-04-28 19:43:40.324,14.0
2025-04-28 19:43:40.447,14.0
2025-04-28 19:43:40.571,14.0
2025-04-28 19:43:40.695,13.0
2025-04-28 19:43:40.818,14.0
2025-04-28 19:43:40.942,13.0
2025-04-28 19:43:41.065,14.0
2025-04-28 19:43:41.189,14.0
2025-04-28 19:43:41.313,14.0
2025-04-28 19:43:41.436,13.0
2025-04-28 19:43:41.560,13.0
2025-04-28 19:43:41.684,13.0
2025-04-28 19:43:41.807,15.0
2025-04-28 19:43:41.931,14.0
2025-04-28 19:43:42.055,14.0
2025-04-28 19:43:42.178,15.0
2025-04-28 19:43:42.302,13.0
2025-04-28 19:43:42.425,14.0
2025-04-28 19:43:42.549,13.0
2025-04-28 19:43:42.673,13.0
2025-04-28 19:43:42.796,14.0
2025-04-28 19:43:42.920,15.0
2025-04-28 19:43:43.044,13.0
2025-04-28 19:43:43.167,14.0
2025-04-28 19:43:43.291,14.0
2025-04-28 19:43:43.415,14.0
2025-04-28 19:43:43.538,13.0
2025-04-28 19:43:43.662,13.0
2025-04-28 19:43:43.785,13.0
2025-04-28 19:43:43.909,13.0
2025-04-28 19:43:44.033,13.0
2025-04-28 19:43:44.156,14.0
2025-04-28 19:43:44.280,17.0
2025-04-28 19:43:44.404,13.0
2025-04-28 19:43:44.527,14.0
2025-04-28 19:43:44.651,14.0
2025-04-28 19:43:44.775,14.0
2025-04-28 19:43:44.898,13.0
2025-04-28 19:43:45.022,14.0
2025-04-28 19:43:45.146,15.0
2025-04-28 19:43:45.269,14.0
2025-04-28 19:43:45.393,12.0
2025-04-28 19:43:45.517,14.0
2025-04-28 19:43:45.640,14.0
2025-04-28 19:43:45.764,14.0
2025-04-28 19:43:45.888,14.0
2025-04-28 19:43:46.011,12.0
2025-04-28 19:43:46.135,14.0
2025-04-28 19:43:46.259,15.0
2025-04-28 19:43:46.382,13.0
2025-04-28 19:43:46.506,14.0
2025-04-28 19:43:46.629,13.0
2025-04-28 19:43:46.753,13.0
2025-04-28 19:43:46.877,17.0
2025-04-28 19:43:47.000,14.0
2025-04-28 19:43:47.124,14.0
2025-04-28 19:43:47.247,14.0
2025-04-28 19:43:47.371,13.0
2025-04-28 19:43:47.495,14.0
2025-04-28 19:43:47.618,13.0
2025-04-28 19:43:47.742,14.0
2025-04-28 19:43:47.865,13.0
2025-04-28 19:43:47.989,14.0
2025-04-28 19:43:48.113,13.0
2025-04-28 19:43:48.236,14.0
2025-04-28 19:43:48.360,13.0
2025-04-28 19:43:48.483,13.0
2025-04-28 19:43:48.607,14.0
2025-04-28 19:43:48.731,17.0
2025-04-28 19:43:48.854,15.0
2025-04-28 19:43:48.978,13.0
2025-04-28 19:43:49.102,14.0
2025-04-28 19:43:49.225,13.0
2025-04-28 19:43:49.349,13.0
2025-04-28 19:43:49.472,13.0
2025-04-28 19:43:49.596,13.0
2025-04-28 19:43:49.720,14.0
2025-04-28 19:43:49.843,13.0
2025-04-28 19:43:49.967,13.0
2025-04-28 19:43:50.091,14.0
2025-04-28 19:43:50.214,13.0
2025-04-28 19:43:50.338,14.0
2025-04-28 19:43:50.461,13.0
2025-04-28 19:43:50.585,13.0
2025-04-28 19:43:50.708,14.0
2025-04-28 19:43:50.832,14.0
2025-04-28 19:43:50.956,15.0
2025-04-28 19:43:51.080,14.0
2025-04-28 19:43:51.203,13.0
2025-04-28 19:43:51.327,12.0
2025-04-28 19:43:51.450,15.0
2025-04-28 19:43:51.574,14.0
2025-04-28 19:43:51.698,14.0
2025-04-28 19:43:51.821,13.0
2025-04-28 19:43:51.945,17.0
2025-04-28 19:43:52.068,14.0
2025-04-28 19:43:52.192,13.0
2025-04-28 19:43:52.316,15.0
2025-04-28 19:43:52.439,14.0
2025-04-28 19:43:52.563,14.0
2025-04-28 19:43:52.686,13.0
2025-04-28 19:43:52.810,14.0
2025-04-28 19:43:52.934,13.0
2025-04-28 19:43:53.057,12.0
2025-04-28 19:43:53.181,14.0
2025-04-28 19:43:53.305,14.0
2025-04-28 19:43:53.428,14.0
2025-04-28 19:43:53.552,15.0
2025-04-28 19:43:53.675,14.0
2025-04-28 19:43:53.799,14.0
2025-04-28 19:43:53.923,14.0
